frame,t,x,y
0.000000000E0,0.000000000E0,4.432851734E1,1.898308596E1
1.000000000E0,2.500000000E-4,4.432851734E1,1.929811187E1
2.000000000E0,5.000000000E-4,4.495856915E1,1.835303415E1
3.000000000E0,7.500000000E-4,4.558862097E1,1.551780098E1
4.000000000E0,1.000000000E-3,4.558862097E1,1.142246420E1
5.000000000E0,1.250000000E-3,4.621867278E1,7.012101503E0
6.000000000E0,1.500000000E-3,4.606115983E1,4.176868342E0
7.000000000E0,1.750000000E-3,4.527359506E1,1.341635182E0
8.000000000E0,2.000000000E-3,4.448603029E1,-1.966136839E0
9.000000000E0,2.250000000E-3,4.385597848E1,-2.281162746E0
1.000000000E1,2.500000000E-3,4.527359506E1,-1.493597979E0
1.100000000E1,2.750000000E-3,4.495856915E1,2.286712902E0
1.200000000E1,3.000000000E-3,4.464354325E1,3.861842436E0
1.300000000E1,3.250000000E-3,4.669121164E1,6.382049690E0
1.400000000E1,3.500000000E-3,4.795131527E1,9.532308757E0
1.500000000E1,3.750000000E-3,4.795131527E1,1.284008078E1
1.600000000E1,4.000000000E-3,4.921141890E1,1.567531394E1
1.700000000E1,4.250000000E-3,4.921141890E1,1.851054710E1
1.800000000E1,4.500000000E-3,4.795131527E1,1.977065073E1
1.900000000E1,4.750000000E-3,4.747877641E1,2.118826731E1
2.000000000E1,5.000000000E-3,4.763628936E1,1.961313777E1
2.100000000E1,5.250000000E-3,4.826634117E1,1.677790461E1
2.200000000E1,5.500000000E-3,4.826634117E1,1.252505487E1
2.300000000E1,5.750000000E-3,4.826634117E1,8.744743990E0
2.400000000E1,6.000000000E-3,4.732126345E1,4.176868342E0
2.500000000E1,6.250000000E-3,4.826634117E1,1.184122228E0
2.600000000E1,6.500000000E-3,4.747877641E1,-1.966136839E0
2.700000000E1,6.750000000E-3,4.401349143E1,-3.383753419E0
2.800000000E1,7.000000000E-3,4.810882822E1,-3.068727512E0
2.900000000E1,7.250000000E-3,4.795131527E1,2.286712902E0
3.000000000E1,7.500000000E-3,4.912862694E1,3.515414508E0
3.100000000E1,7.750000000E-3,4.786289171E1,6.035094324E0
3.200000000E1,8.000000000E-3,4.880796943E1,9.342866345E0
3.300000000E1,8.250000000E-3,4.770537875E1,1.265063837E1
3.400000000E1,8.500000000E-3,4.849294352E1,1.548587153E1
3.500000000E1,8.750000000E-3,4.833543057E1,1.816359173E1
3.600000000E1,9.000000000E-3,4.885116580E1,1.954922280E1
3.700000000E1,9.250000000E-3,4.743273237E1,2.081005292E1
3.800000000E1,9.500000000E-3,4.790485912E1,2.159986089E1
3.900000000E1,9.750000000E-3,4.617219861E1,1.892374859E1
4.000000000E1,1.000000000E-2,4.680243871E1,1.420278234E1
4.100000000E1,1.025000000E-2,4.569833369E1,9.795123057E0
4.200000000E1,1.050000000E-2,4.664578154E1,6.187052594E0
4.300000000E1,1.075000000E-2,4.727054098E1,2.237868575E0
4.400000000E1,1.100000000E-2,4.742511426E1,-2.803503530E0
4.500000000E1,1.125000000E-2,4.632414015E1,-4.693308850E0
4.600000000E1,1.150000000E-2,4.721606218E1,-2.192616580E0
4.700000000E1,1.175000000E-2,4.815988430E1,-1.089373544E0
4.800000000E1,1.200000000E-2,4.536347150E1,1.457642487E0
4.900000000E1,1.225000000E-2,4.725175092E1,4.290335132E0
5.000000000E1,1.250000000E-2,4.677867970E1,6.807413434E0
